customer_id,monthly_transactions,avg_basket_size,total_spend,avg_session_duration,email_open_rate,product_views_per_visit,return_rate,customer_tenure_months,recency_days
CUST_0169,2.5,3.5,487.92,50.7,0.95,25.9,0.5,19,37
CUST_0170,16.4,25.4,7978.05,48.8,0.95,43.2,0.0,36,8
CUST_0171,2.8,5.8,1525.87,28.3,0.0,28.8,0.2,1,18
CUST_0172,3.6,14.7,3564.07,23.2,0.95,20.6,0.4,31,21
CUST_0173,1.7,2.0,90.42,54.9,0.17,27.4,0.49,1,34
CUST_0174,7.6,4.6,1621.86,35.1,0.8,38.2,0.17,34,19
CUST_0175,5.1,17.2,3979.49,26.3,0.95,17.4,0.36,29,15
CUST_0176,9.8,6.8,1483.5,36.9,0.95,36.9,0.0,26,13
CUST_0177,3.1,4.1,323.07,59.1,0.0,33.6,0.5,8,43
CUST_0178,3.0,3.5,442.89,50.6,0.0,28.3,0.5,6,36
CUST_0179,14.7,23.1,6675.27,32.0,0.0,31.3,0.21,16,7
CUST_0180,0.6,1.6,308.66,60.6,0.0,36.2,0.32,5,29
CUST_0181,14.5,20.8,6674.29,40.1,0.95,30.3,0.19,18,6
CUST_0182,7.8,25.4,4616.26,32.0,0.0,20.1,0.48,37,20
CUST_0183,2.0,4.3,535.1,69.5,0.0,37.5,0.41,34,39
CUST_0184,4.9,8.6,2095.26,39.0,0.95,20.9,0.14,7,11
CUST_0185,9.3,18.2,4800.52,40.3,0.95,43.0,0.0,17,10
CUST_0186,13.5,22.6,6956.7,52.9,0.95,44.7,0.0,38,9
CUST_0187,11.1,19.9,6240.43,29.7,0.0,27.3,0.27,7,6
CUST_0188,1.8,2.9,384.21,44.5,0.0,25.9,0.5,7,34
CUST_0189,2.5,3.6,482.09,47.9,0.0,26.2,0.19,13,46
CUST_0190,0.2,1.4,312.58,49.6,0.0,32.5,0.42,1,23
CUST_0191,5.7,3.6,1242.96,27.8,0.26,32.3,0.14,11,17
CUST_0192,8.2,7.3,1214.51,24.4,0.0,35.2,0.19,8,16
CUST_0193,3.4,4.0,332.95,56.1,0.95,34.7,0.5,9,42
CUST_0194,14.6,22.8,7188.84,41.9,0.95,30.8,0.21,26,6
CUST_0195,8.1,3.5,1647.4,31.6,0.95,35.4,0.04,27,19
CUST_0196,0.2,12.5,3439.68,15.4,0.0,15.4,0.0,13,22
CUST_0197,14.1,22.3,5024.86,52.0,0.0,47.5,0.27,25,9
CUST_0198,1.3,14.3,3454.58,18.0,0.95,22.4,0.19,19,24
CUST_0199,10.7,6.0,1563.3,35.2,0.95,37.7,0.0,28,17
CUST_0200,6.4,11.5,5089.1,16.0,0.0,19.7,0.34,1,4
CUST_0201,7.0,5.2,1223.09,32.2,0.0,34.1,0.14,12,19
CUST_0202,1.2,2.3,162.94,52.2,0.79,27.6,0.34,1,41
CUST_0203,14.2,23.7,6708.98,36.6,0.0,38.3,0.14,21,9
CUST_0204,6.5,22.6,4154.09,28.5,0.95,24.0,0.5,35,25
CUST_0205,1.4,2.4,503.92,39.3,0.0,25.6,0.5,1,33
CUST_0206,10.9,7.0,1684.65,29.9,0.16,26.9,0.09,21,18
CUST_0207,0.9,2.5,419.5,39.4,0.0,27.8,0.38,14,36
CUST_0208,0.2,1.1,421.31,53.8,0.95,32.4,0.0,25,15
CUST_0209,7.6,6.1,1382.59,26.1,0.0,31.8,0.25,16,11
CUST_0210,2.3,3.3,593.38,48.7,0.0,34.8,0.5,25,39
CUST_0211,0.7,2.0,233.24,58.5,0.0,33.7,0.45,1,42
CUST_0212,1.6,2.4,498.33,48.7,0.56,27.8,0.02,15,28
CUST_0213,4.5,3.3,1015.4,30.5,0.95,42.1,0.0,17,11
CUST_0214,0.6,2.2,335.36,31.1,0.0,16.1,0.0,1,39
CUST_0215,3.9,1.4,1236.6,30.9,0.95,39.8,0.0,20,19
CUST_0216,18.1,27.3,6282.2,57.6,0.3,51.3,0.11,42,12
CUST_0217,13.3,22.4,6301.26,50.4,0.95,44.7,0.0,31,7
CUST_0218,14.6,18.7,6148.73,40.5,0.95,26.2,0.2,14,8
CUST_0219,0.2,2.5,414.74,43.3,0.24,18.8,0.0,10,24
CUST_0220,5.8,5.4,517.86,58.8,0.63,29.1,0.5,8,48
CUST_0221,8.0,5.6,1559.71,27.2,0.84,41.8,0.06,26,9
CUST_0222,0.2,2.9,470.55,57.1,0.41,32.9,0.0,36,21
CUST_0223,8.6,5.3,1420.52,37.0,0.95,40.1,0.0,24,22
CUST_0224,3.0,6.5,1702.12,32.5,0.0,20.0,0.0,1,6
CUST_0225,0.2,1.0,50.0,32.9,0.0,22.7,0.0,1,31
CUST_0226,16.3,23.6,7582.32,32.6,0.0,30.2,0.22,18,2
CUST_0227,13.8,24.1,5910.45,57.5,0.95,58.9,0.0,41,7
CUST_0228,0.2,1.3,329.91,46.6,0.0,27.7,0.1,1,31
CUST_0229,7.3,5.4,1359.43,34.4,0.41,33.4,0.15,21,12
CUST_0230,16.5,26.0,6307.84,52.4,0.75,49.5,0.0,39,11
CUST_0231,1.4,3.2,355.16,57.9,0.45,36.0,0.0,11,46
CUST_0232,2.4,3.7,300.84,64.5,0.95,36.1,0.45,14,34
CUST_0233,7.3,24.0,3440.51,22.1,0.0,19.8,0.49,34,15
CUST_0234,13.1,22.1,5946.02,42.4,0.82,43.7,0.02,27,14
CUST_0235,8.1,4.6,1449.26,29.8,0.95,46.4,0.03,30,14
CUST_0236,9.2,6.4,1257.49,30.4,0.92,36.4,0.02,16,18
CUST_0237,11.8,8.2,1408.64,36.1,0.6,43.1,0.0,24,19
CUST_0238,3.0,3.9,552.82,69.1,0.0,40.1,0.5,30,46
CUST_0239,7.8,23.3,4379.48,30.6,0.0,18.9,0.48,30,10
CUST_0240,7.4,5.3,1325.81,21.1,0.0,29.9,0.16,7,9
CUST_0241,0.4,14.9,4070.8,22.9,0.95,22.5,0.1,33,22
CUST_0242,4.5,4.7,1136.67,16.7,0.0,29.8,0.33,3,12
CUST_0243,1.8,3.4,447.06,31.3,0.0,18.4,0.1,1,44
CUST_0244,0.4,1.8,534.58,41.4,0.0,20.7,0.0,23,29
CUST_0245,8.7,14.9,5626.04,35.9,0.95,33.0,0.22,10,4
CUST_0246,14.0,22.5,6887.78,34.0,0.0,23.5,0.33,9,5
CUST_0247,5.5,2.8,1111.82,19.8,0.95,29.9,0.09,8,20
CUST_0248,17.3,26.6,5796.82,33.7,0.0,33.3,0.41,20,11
CUST_0249,8.6,7.1,1732.16,24.7,0.0,37.4,0.2,22,11
CUST_0250,4.8,25.8,4571.92,22.0,0.0,18.2,0.14,27,27
CUST_0251,6.6,4.6,1226.84,29.2,0.65,34.7,0.16,19,14
CUST_0252,4.6,2.9,1006.17,18.7,0.52,23.3,0.14,1,12
CUST_0253,12.9,22.7,6525.1,61.1,0.95,55.8,0.0,37,7
CUST_0254,6.5,4.5,1340.01,26.5,0.02,31.5,0.16,16,18
CUST_0255,5.8,19.3,4252.99,24.5,0.95,14.9,0.41,26,17
CUST_0256,4.8,8.1,1426.12,34.3,0.95,32.1,0.28,1,13
CUST_0257,1.1,1.4,257.25,52.6,0.0,26.2,0.5,1,30
CUST_0258,2.0,17.6,3488.39,15.6,0.0,15.3,0.06,14,12
CUST_0259,0.2,2.9,493.12,46.4,0.0,30.3,0.0,13,25
CUST_0260,2.0,4.2,648.56,54.2,0.0,29.0,0.19,20,38
CUST_0261,0.2,1.0,116.42,54.1,0.0,33.4,0.5,1,32
CUST_0262,0.8,3.6,535.66,65.1,0.95,41.5,0.0,43,37
CUST_0263,17.2,25.0,5860.63,63.1,0.95,56.1,0.0,44,17
CUST_0264,7.4,5.3,1268.81,29.5,0.95,36.6,0.0,11,11
CUST_0265,9.3,7.7,1603.6,18.0,0.0,29.7,0.07,13,11
CUST_0266,1.6,3.5,508.46,39.8,0.0,18.5,0.5,1,36
CUST_0267,0.2,11.2,2954.01,3.4,0.0,4.9,0.0,5,16
CUST_0268,6.1,19.5,2778.72,25.3,0.33,15.3,0.47,21,24
CUST_0269,3.6,7.1,1945.97,35.5,0.03,23.0,0.08,3,12
CUST_0270,14.6,23.3,7734.45,44.5,0.0,40.1,0.21,25,10
CUST_0271,0.2,1.0,306.05,35.3,0.0,26.4,0.41,1,26
CUST_0272,9.9,6.3,1455.91,28.0,0.0,33.0,0.2,16,23
CUST_0273,3.4,5.3,558.53,67.1,0.57,35.6,0.32,34,46
CUST_0274,20.1,28.1,7878.27,65.0,0.95,61.4,0.0,48,11
CUST_0275,6.0,2.9,1452.6,24.1,0.95,32.2,0.12,16,11
CUST_0276,6.8,4.6,1343.36,25.5,0.95,31.8,0.09,11,10
CUST_0277,3.6,7.3,1685.19,35.2,0.13,27.9,0.18,1,11
CUST_0278,9.1,7.6,1424.06,28.0,0.0,39.4,0.09,17,10
CUST_0279,8.2,8.3,904.58,34.9,0.0,40.0,0.2,10,16
CUST_0280,12.8,18.6,5588.06,41.4,0.43,33.8,0.12,12,6
CUST_0281,1.6,2.9,414.47,57.7,0.59,33.2,0.5,20,34
CUST_0282,7.9,4.9,1326.63,28.4,0.66,47.3,0.01,21,20
CUST_0283,15.6,21.4,6555.2,62.7,0.95,56.8,0.0,39,11
CUST_0284,9.9,7.0,1751.48,32.2,0.46,44.3,0.06,35,16
CUST_0285,6.4,4.6,1422.24,20.7,0.0,31.5,0.32,15,19
CUST_0286,0.2,1.2,338.4,49.2,0.0,26.9,0.09,20,32
CUST_0287,12.1,20.5,5480.77,56.3,0.95,54.8,0.0,30,6
CUST_0288,3.6,6.8,1465.76,29.9,0.95,24.4,0.33,6,12
CUST_0289,14.4,22.2,7892.01,44.4,0.95,39.4,0.14,24,8
CUST_0290,13.4,20.6,5573.55,43.7,0.0,48.5,0.0,18,12
CUST_0291,4.1,18.7,3673.34,25.9,0.95,15.0,0.34,34,17
CUST_0292,2.5,14.5,3661.95,23.8,0.95,15.0,0.18,26,31
CUST_0293,2.9,4.0,379.86,63.7,0.8,37.8,0.38,11,42
CUST_0294,0.3,1.9,236.09,47.8,0.0,24.9,0.5,1,26
CUST_0295,0.2,1.8,303.55,42.2,0.63,27.7,0.0,7,30
CUST_0296,0.2,16.8,3532.3,21.3,0.01,16.8,0.0,26,26
CUST_0297,7.0,4.1,1545.62,32.8,0.95,29.9,0.26,27,21
CUST_0298,2.2,14.2,3072.47,18.2,0.0,13.7,0.17,13,23
CUST_0299,0.2,11.5,2917.97,16.2,0.39,13.7,0.0,10,9
CUST_0300,12.8,24.2,5655.21,34.8,0.0,31.4,0.38,16,3
CUST_0301,10.9,16.9,5997.6,40.3,0.95,38.4,0.1,19,6
CUST_0302,6.8,5.2,1372.56,26.8,0.02,31.4,0.21,19,17
CUST_0303,14.3,21.8,6517.07,44.4,0.95,39.2,0.05,23,6
CUST_0304,0.2,1.0,169.81,35.5,0.09,21.7,0.28,1,20
CUST_0305,5.3,20.7,3413.27,25.7,0.95,14.4,0.37,22,35
CUST_0306,6.5,3.7,1055.48,32.2,0.95,35.8,0.0,10,13
CUST_0307,3.3,3.4,421.45,37.3,0.95,21.0,0.19,13,43
CUST_0308,0.5,2.5,359.55,39.3,0.0,25.8,0.45,1,45
CUST_0309,0.9,3.8,431.35,56.1,0.48,33.4,0.4,25,32
CUST_0310,13.7,22.2,6624.18,35.7,0.21,40.0,0.07,21,6
CUST_0311,11.8,17.7,7299.38,24.4,0.13,31.3,0.09,5,4
CUST_0312,0.2,2.6,328.14,52.2,0.0,28.7,0.11,3,34
CUST_0313,8.7,6.1,1345.42,27.8,0.95,36.1,0.0,23,11
CUST_0314,0.2,1.0,289.04,39.2,0.0,19.4,0.12,1,3
CUST_0315,0.2,1.9,329.79,31.3,0.0,24.9,0.15,1,51
CUST_0316,1.4,2.2,304.63,40.6,0.19,24.3,0.36,1,26
CUST_0317,4.5,3.8,1040.09,23.7,0.8,32.6,0.13,8,10
CUST_0318,6.5,9.9,1739.37,38.4,0.95,33.7,0.35,9,16
CUST_0319,4.4,5.5,507.39,76.5,0.95,40.0,0.5,41,40
CUST_0320,0.2,1.3,496.97,39.6,0.0,17.5,0.0,18,24
CUST_0321,6.8,4.5,1213.34,24.7,0.0,35.5,0.14,9,15
CUST_0322,7.7,3.2,1683.01,28.3,0.95,30.3,0.11,25,16
CUST_0323,1.9,2.3,418.42,54.8,0.34,27.6,0.4,6,26
CUST_0324,1.2,3.0,441.4,32.3,0.29,21.7,0.0,1,32
CUST_0325,0.2,2.9,583.01,53.5,0.82,33.4,0.0,36,23
CUST_0326,2.5,3.6,262.92,44.7,0.66,29.9,0.5,2,45
CUST_0327,12.1,18.1,5325.17,46.6,0.95,39.2,0.15,16,5
CUST_0328,3.2,4.5,430.6,53.1,0.33,24.9,0.3,14,44
CUST_0329,5.1,19.2,4003.13,26.1,0.74,17.9,0.32,29,26
CUST_0330,2.3,3.4,429.57,49.1,0.0,29.5,0.12,9,38
CUST_0331,7.8,5.6,1276.61,34.5,0.95,35.6,0.05,19,11
CUST_0332,9.2,5.6,1501.82,32.9,0.57,43.0,0.05,31,20
CUST_0333,3.0,3.8,514.36,60.9,0.95,32.0,0.42,20,29
CUST_0334,9.2,5.0,1585.27,27.4,0.95,37.0,0.0,22,15
CUST_0335,5.6,2.4,1441.81,28.7,0.95,31.3,0.11,20,18
CUST_0336,5.2,8.9,1578.08,44.8,0.95,33.4,0.24,11,16
CUST_0337,2.7,5.2,749.0,59.3,0.01,33.3,0.42,46,42
CUST_0338,10.4,7.3,1459.73,21.9,0.0,29.3,0.22,13,23
CUST_0339,0.2,1.3,224.44,42.5,0.0,28.9,0.43,1,21
CUST_0340,1.8,4.2,460.47,55.3,0.0,32.7,0.4,19,41
CUST_0341,2.1,15.2,4358.31,25.0,0.95,24.4,0.26,36,12
CUST_0342,12.9,20.9,5637.92,65.3,0.95,52.1,0.0,36,11
CUST_0343,11.8,8.1,1798.02,45.6,0.95,47.3,0.0,41,20
CUST_0344,0.9,10.5,2724.37,15.0,0.0,13.9,0.19,6,5
CUST_0345,8.7,6.9,1453.22,33.9,0.0,32.2,0.12,17,9
CUST_0346,3.6,4.6,597.37,61.2,0.5,33.2,0.37,25,39
CUST_0347,6.6,22.4,3887.68,21.4,0.0,5.6,0.23,23,20
CUST_0348,10.8,6.9,1460.96,45.0,0.95,41.1,0.02,32,23
CUST_0349,2.7,4.2,548.37,55.6,0.95,30.9,0.04,32,38
