application_id,application_date,loan_amount,annual_income,employment_years,job_stability_score,credit_score,credit_utilization,payment_history_score,open_credit_lines,debt_to_income_ratio,savings_ratio,asset_value,age,education_level,marital_status,residential_stability,loan_status
APP_1346,2022-01-11,119331.93,59614.06,5.2,0.756,738,0.088,0.836,3,0.363,0.244,211307.78,48,High School,Widowed,7.7,0
APP_828,2022-01-11,291481.73,76740.19,2.8,0.116,549,0.846,0.102,0,0.823,0.183,59354.19,32,Associates,Married,2.9,1
APP_1153,2022-01-11,294677.04,51603.51,12.1,0.84,719,0.091,0.942,3,0.154,0.255,36635.12,34,Bachelors,Married,5.0,0
APP_1025,2022-01-11,48696.37,56196.75,3.4,0.616,766,0.028,0.795,2,0.331,0.373,159843.73,43,Bachelors,Married,9.0,0
APP_380,2022-01-12,78504.83,15000.0,0.9,0.09,600,0.732,0.252,7,0.542,0.005,112614.56,34,Bachelors,Widowed,1.2,1
APP_1765,2022-01-12,42837.37,109621.34,2.6,0.192,760,0.958,0.27,2,0.716,0.043,56050.76,19,Associates,Widowed,2.6,1
APP_1588,2022-01-12,500000.0,33955.91,4.9,0.102,577,0.774,0.265,2,0.916,0.053,7174.11,27,Associates,Single,0.0,1
APP_1064,2022-01-12,54193.91,79932.13,14.8,0.715,797,0.148,0.996,3,0.263,0.253,56530.54,20,Bachelors,Married,11.2,0
APP_754,2022-01-13,25994.48,60517.3,11.6,0.91,739,0.263,0.869,6,0.537,0.366,333964.49,63,Masters,Married,4.6,0
APP_1465,2022-01-14,66426.8,32366.78,5.1,0.092,670,0.701,0.294,2,0.557,0.001,3621.58,33,Associates,Single,4.0,1
APP_038,2022-01-14,134913.11,119581.77,14.8,0.842,706,0.128,0.978,3,0.549,0.696,202061.32,55,Doctorate,Married,3.2,0
APP_1397,2022-01-14,40848.93,85810.31,9.4,0.679,669,0.194,0.974,3,0.442,0.47,304830.14,32,Doctorate,Married,8.6,0
APP_818,2022-01-15,159135.68,102185.26,7.0,0.868,695,0.299,0.854,6,0.252,0.136,110083.84,55,Associates,Married,2.8,0
APP_074,2022-01-15,63321.92,105362.7,12.2,0.933,735,0.036,0.991,3,0.646,0.289,221092.7,37,Bachelors,Married,8.2,0
APP_1110,2022-01-16,57145.31,88346.05,5.0,0.878,664,0.159,0.829,5,0.189,0.374,226134.95,47,Associates,Widowed,7.3,0
APP_1238,2022-01-17,61401.11,50056.38,3.6,0.042,539,0.699,0.422,3,0.758,0.016,20676.38,33,Bachelors,Divorced,5.0,1
APP_1886,2022-01-17,500000.0,85343.97,6.3,0.896,801,0.34,0.977,3,0.225,0.614,63988.65,48,Bachelors,Married,9.1,0
APP_241,2022-01-17,157717.04,50183.52,6.4,0.784,754,0.14,0.838,3,0.305,0.167,233528.23,31,Bachelors,Married,10.7,0
APP_914,2022-01-18,52199.85,64865.08,2.9,0.714,838,0.093,0.936,2,0.457,0.542,1000000.0,55,Bachelors,Married,0.9,0
APP_260,2022-01-18,203098.85,68173.77,0.0,0.683,742,0.166,0.949,6,0.127,0.391,258761.55,36,High School,Divorced,7.2,0
APP_1558,2022-01-19,41195.05,53851.07,9.4,0.788,765,0.111,0.719,5,0.219,0.282,210212.57,64,Bachelors,Divorced,5.0,0
APP_2007,2022-01-19,407692.83,55814.62,10.5,0.937,805,0.06,0.955,1,0.241,0.279,447406.73,43,High School,Single,9.1,0
APP_2080,2022-01-19,84451.07,75356.45,10.7,0.888,700,0.196,0.797,5,0.413,0.057,208039.75,31,Masters,Divorced,3.2,0
APP_2478,2022-01-19,38138.21,104202.8,12.8,0.725,691,0.201,0.941,4,0.362,0.418,148003.26,42,Bachelors,Married,1.1,0
APP_281,2022-01-20,34766.32,84369.46,8.4,0.798,756,0.138,0.872,10,0.202,0.412,806533.53,36,Masters,Married,6.8,0
APP_1447,2022-01-21,130318.29,46780.36,5.8,0.887,724,0.163,0.985,7,0.193,0.372,149962.94,37,Associates,Married,5.8,0
APP_1600,2022-01-21,89979.28,76590.27,9.0,0.871,731,0.12,0.949,2,0.244,0.408,48191.74,31,Associates,Single,7.7,0
APP_1300,2022-01-21,47353.67,102231.78,6.7,0.835,682,0.328,0.967,5,0.156,0.397,121274.06,43,Bachelors,Married,5.9,0
APP_2160,2022-01-21,500000.0,57408.72,8.6,0.904,677,0.031,0.934,1,0.328,0.613,131923.0,56,Associates,Single,1.8,0
APP_032,2022-01-21,297445.12,82743.17,9.4,0.776,757,0.167,0.928,4,0.419,0.49,35841.47,59,Associates,Married,4.1,0
APP_1880,2022-01-21,500000.0,52384.66,0.0,0.131,662,0.768,0.359,1,0.828,0.233,2175.09,18,Masters,Single,2.2,1
APP_1266,2022-01-22,426243.03,93516.61,12.2,0.96,728,0.301,0.939,3,0.138,0.35,195391.71,33,High School,Married,2.6,0
APP_1391,2022-01-22,500000.0,100331.86,13.6,0.538,689,0.217,0.829,0,0.388,0.277,295100.81,42,Masters,Married,4.3,0
APP_016,2022-01-22,112450.86,68270.52,2.8,0.492,468,0.992,0.287,0,0.778,0.017,73212.34,52,Bachelors,Married,4.7,1
APP_2190,2022-01-22,18275.64,126876.79,12.5,0.635,804,0.036,0.943,4,0.175,0.222,92576.13,50,Bachelors,Single,4.6,0
APP_2008,2022-01-23,175797.79,85434.13,9.3,0.723,725,0.318,0.752,0,0.616,0.122,174480.26,42,High School,Married,7.9,0
APP_832,2022-01-23,339998.57,52885.29,9.0,0.729,692,0.176,0.91,4,0.534,0.494,34086.26,41,Masters,Single,6.1,0
APP_357,2022-01-23,500000.0,52296.58,4.1,0.256,422,0.851,0.259,4,0.678,0.039,4904.76,35,Bachelors,Married,4.7,1
APP_1427,2022-01-24,129935.79,86758.01,11.8,0.911,778,0.153,0.717,3,0.605,0.312,70107.51,33,Masters,Married,3.7,0
APP_687,2022-01-25,19510.55,44215.83,5.1,0.764,729,0.201,0.92,3,0.115,0.664,247121.75,50,Associates,Divorced,4.2,0
APP_1050,2022-01-25,171110.37,43240.24,3.2,0.135,490,0.813,0.183,2,0.605,0.164,43944.07,36,Bachelors,Single,2.0,1
APP_884,2022-01-25,345969.59,53054.08,8.7,0.881,650,0.169,0.838,1,0.345,0.535,457271.13,46,High School,Married,8.6,0
APP_2420,2022-01-26,287932.43,31559.1,2.8,0.194,381,0.795,0.144,1,0.737,0.044,100295.97,32,Associates,Married,3.7,1
APP_1005,2022-01-27,440766.29,72520.71,0.3,0.547,797,0.158,0.902,3,0.207,0.546,146440.66,19,Associates,Single,7.4,0
APP_229,2022-01-27,265698.61,15000.0,4.1,0.027,518,0.562,0.481,2,0.917,0.01,19374.48,43,Associates,Single,1.6,1
APP_2179,2022-01-28,35024.66,47637.2,2.4,0.239,601,0.789,0.2,0,0.784,0.169,44942.26,43,Associates,Divorced,3.8,1
APP_679,2022-01-28,195777.8,118408.1,8.6,0.891,710,0.177,0.878,2,0.197,0.346,341892.26,39,Bachelors,Married,3.7,0
APP_663,2022-01-28,51048.5,73918.17,6.4,0.872,686,0.065,0.82,4,0.444,0.286,153316.58,28,Associates,Divorced,6.2,0
APP_1471,2022-01-28,456963.35,71155.45,8.7,0.635,718,0.115,0.946,4,0.437,0.505,212889.32,53,Associates,Married,5.7,0
APP_1121,2022-01-29,212899.55,66672.71,7.6,0.857,747,0.094,0.925,5,0.505,0.431,96139.77,19,High School,Married,8.5,0
APP_991,2022-01-29,500000.0,77746.75,6.9,0.73,658,0.024,0.788,3,0.049,0.334,267651.17,43,Associates,Married,5.9,0
APP_1279,2022-01-29,42265.61,57656.01,5.3,0.741,716,0.455,0.949,5,0.18,0.235,253877.47,44,Bachelors,Married,5.5,0
APP_1891,2022-01-29,138304.23,91278.1,11.4,0.647,771,0.049,0.964,3,0.262,0.359,222431.88,39,High School,Widowed,4.3,0
APP_1023,2022-01-29,128044.18,101041.63,11.7,0.827,662,0.156,0.99,4,0.356,0.168,579738.46,33,Associates,Married,8.8,0
APP_455,2022-01-29,223071.57,71201.05,9.0,0.677,662,0.335,0.916,7,0.329,0.213,149378.14,50,High School,Widowed,11.2,0
APP_908,2022-02-01,55140.13,75330.23,8.1,0.88,740,0.143,0.656,6,0.213,0.183,173107.46,45,Masters,Married,10.8,0
APP_2204,2022-02-01,67380.77,82971.62,7.3,0.951,767,0.072,0.981,0,0.192,0.356,1000000.0,63,Masters,Single,8.6,0
APP_694,2022-02-03,146305.98,37014.7,11.7,0.978,750,0.2,0.998,3,0.469,0.303,12312.16,22,Bachelors,Divorced,3.1,0
APP_1000,2022-02-03,272172.02,65905.16,0.0,0.02,611,0.639,0.265,3,0.897,0.049,5879.65,37,Associates,Single,2.3,1
APP_565,2022-02-03,74870.79,81111.62,8.0,0.91,809,0.365,0.917,2,0.222,0.454,137139.48,31,Bachelors,Married,5.1,0
APP_1419,2022-02-04,100207.59,123279.75,11.4,0.873,722,0.201,0.998,4,0.531,0.649,68880.51,30,Doctorate,Married,7.6,0
APP_383,2022-02-04,31328.28,48945.63,4.0,0.933,769,0.294,0.851,7,0.441,0.126,449887.56,51,Bachelors,Married,5.1,0
APP_047,2022-02-04,26657.89,89048.52,10.7,0.831,728,0.232,0.883,2,0.528,0.436,123944.65,47,Bachelors,Single,0.0,0
APP_1635,2022-02-05,364588.13,30247.51,4.2,0.066,512,0.928,0.213,2,0.589,0.067,16799.91,43,Associates,Single,1.8,1
APP_279,2022-02-05,155079.23,83017.78,6.0,0.022,516,0.878,0.357,1,0.661,0.262,2143.84,36,High School,Divorced,2.1,1
APP_1688,2022-02-05,52035.41,115573.02,7.4,0.654,670,0.098,0.81,3,0.233,0.512,223622.77,18,Masters,Single,6.7,0
APP_408,2022-02-06,330716.38,82814.6,4.4,0.164,594,0.817,0.096,3,0.769,0.227,3251.85,35,High School,Widowed,0.6,1
APP_1253,2022-02-06,40960.37,27138.94,2.3,0.282,476,0.85,0.113,1,0.907,0.031,106897.39,39,High School,Single,4.8,1
APP_1197,2022-02-06,57446.5,112043.67,8.8,0.741,732,0.245,0.961,6,0.526,0.37,94598.03,35,High School,Married,8.5,0
APP_225,2022-02-07,98740.3,75491.11,7.6,0.778,712,0.116,0.953,9,0.477,0.222,226540.05,41,Bachelors,Married,11.6,0
APP_2051,2022-02-07,26453.88,60566.48,8.8,0.947,768,0.138,0.84,6,0.279,0.593,145408.77,69,Doctorate,Married,8.0,0
APP_1193,2022-02-07,49005.16,88464.42,3.9,0.509,665,0.31,0.929,9,0.446,0.105,269073.63,64,Associates,Single,6.3,0
APP_466,2022-02-08,72995.52,91421.65,7.3,0.74,756,0.176,0.919,3,0.534,0.299,90609.38,38,Bachelors,Single,8.2,0
APP_1974,2022-02-08,66787.2,119268.47,12.2,0.812,795,0.32,0.858,2,0.167,0.304,68090.04,67,Associates,Married,5.9,0
APP_1105,2022-02-08,85864.45,89208.33,0.1,0.064,620,0.772,0.335,0,0.938,0.153,21732.15,39,Bachelors,Married,7.4,1
APP_1290,2022-02-08,70279.35,30159.92,1.8,0.086,527,0.872,0.212,1,0.886,0.225,20714.33,38,Associates,Single,4.3,1
APP_2257,2022-02-09,61943.85,68132.6,7.4,0.826,706,0.192,0.928,3,0.094,0.464,362570.5,58,Associates,Married,1.7,0
APP_1209,2022-02-09,5000.0,87492.4,7.0,0.979,676,0.213,0.895,2,0.065,0.238,166192.95,42,Bachelors,Single,4.2,0
APP_1189,2022-02-09,88224.2,50719.72,5.5,0.222,522,0.918,0.246,5,0.794,0.011,3296.83,21,High School,Single,5.0,1
APP_2390,2022-02-10,51758.43,41239.06,0.1,0.192,537,0.967,0.296,4,0.769,0.011,26615.39,44,High School,Divorced,0.2,1
APP_998,2022-02-10,9767.28,34611.6,1.4,0.054,741,0.752,0.314,2,0.8,0.009,4545.66,42,High School,Divorced,3.6,1
APP_512,2022-02-10,64316.08,37504.86,4.7,0.15,484,0.907,0.301,2,0.789,0.024,9104.86,44,Associates,Married,5.3,1
APP_086,2022-02-10,25536.88,49034.77,2.9,0.389,597,0.927,0.1,4,0.832,0.011,43474.18,45,Masters,Single,0.0,1
APP_2303,2022-02-10,142801.66,60326.02,2.6,0.351,638,0.88,0.197,0,0.485,0.055,5184.88,45,High School,Married,6.3,1
APP_997,2022-02-11,158349.0,41102.67,7.7,0.902,765,0.283,0.885,2,0.329,0.45,429931.94,44,Doctorate,Divorced,3.1,0
APP_1767,2022-02-11,436918.0,25341.51,8.5,0.694,658,0.205,0.946,3,0.154,0.258,760323.49,52,Bachelors,Married,10.0,0
APP_1049,2022-02-11,45946.4,98905.72,8.6,0.876,706,0.216,0.996,1,0.332,0.449,53583.86,57,Associates,Married,10.8,0
APP_1592,2022-02-12,36370.98,49356.85,7.6,0.707,734,0.08,0.748,4,0.213,0.332,81593.41,45,Masters,Married,7.3,0
APP_1915,2022-02-12,56987.2,67144.58,10.8,0.94,833,0.286,0.889,3,0.305,0.491,161440.19,53,High School,Married,9.4,0
APP_1809,2022-02-12,201940.7,89961.65,8.3,0.908,730,0.402,0.868,4,0.091,0.208,64011.75,45,Masters,Married,5.7,0
APP_615,2022-02-12,84308.07,41349.82,7.9,0.821,709,0.179,0.963,3,0.101,0.197,273505.78,64,High School,Married,11.0,0
APP_2181,2022-02-12,100873.27,84392.82,10.8,0.75,765,0.089,0.97,1,0.294,0.239,374112.23,50,Associates,Married,10.4,0
APP_819,2022-02-16,500000.0,41488.2,2.7,0.241,476,0.866,0.237,4,0.866,0.102,9261.18,21,Associates,Married,5.3,1
APP_643,2022-02-16,280123.9,66020.0,8.5,0.823,703,0.153,0.781,6,0.288,0.474,301879.28,53,Doctorate,Married,8.4,0
APP_493,2022-02-16,219500.35,41380.73,5.0,0.176,560,0.735,0.42,2,0.906,0.053,41098.21,18,High School,Single,2.0,1
APP_1073,2022-02-16,181665.5,79080.56,9.9,0.887,757,0.055,0.997,8,0.228,0.318,251118.42,58,Masters,Single,9.3,0
APP_312,2022-02-16,200822.55,74973.85,0.1,0.233,728,0.889,0.233,2,0.72,0.058,2563.89,40,High School,Single,4.3,1
APP_650,2022-02-17,500000.0,49808.22,0.3,0.042,526,0.816,0.386,0,0.7,0.024,11861.57,46,High School,Divorced,0.0,1
APP_2454,2022-02-18,87418.58,82469.48,8.7,0.628,671,0.389,0.982,4,0.179,0.506,269886.44,57,Associates,Married,5.0,0
APP_2115,2022-02-18,442150.62,46927.77,8.8,0.813,762,0.365,0.894,7,0.362,0.562,182396.68,38,Bachelors,Married,5.9,0
APP_2106,2022-02-19,171953.67,67969.21,2.4,0.847,716,0.175,0.851,8,0.108,0.179,306100.2,28,Bachelors,Married,12.9,0
APP_1652,2022-02-19,27647.04,64515.43,11.3,0.744,713,0.102,0.945,7,0.32,0.704,173137.64,49,Masters,Married,8.0,0
APP_1608,2022-02-20,370121.85,27660.57,8.2,0.899,636,0.146,0.95,8,0.475,0.381,128915.48,37,Bachelors,Single,11.2,0
APP_559,2022-02-20,31054.2,78685.56,9.7,0.896,782,0.118,0.898,4,0.209,0.219,123580.59,19,Bachelors,Single,8.7,0
APP_853,2022-02-20,29428.96,43078.69,8.6,0.905,708,0.225,0.941,5,0.105,0.248,354119.75,50,Bachelors,Divorced,8.9,0
APP_291,2022-02-20,103683.99,57660.79,4.6,0.538,766,0.324,0.828,0,0.439,0.569,149040.49,27,Masters,Single,3.2,0
APP_612,2022-02-22,80079.48,69361.8,6.8,0.933,710,0.157,0.982,4,0.101,0.491,97181.0,59,Bachelors,Married,4.4,0
APP_1166,2022-02-23,110420.03,41251.57,1.2,0.177,540,0.881,0.149,2,0.511,0.067,22471.74,19,High School,Divorced,0.9,1
APP_199,2022-02-23,106076.85,45600.28,6.2,0.11,557,0.927,0.112,2,0.661,0.119,2906.64,42,Masters,Single,4.7,1
APP_1725,2022-02-24,225140.28,65949.4,3.8,0.725,722,0.045,0.989,5,0.299,0.415,234717.01,46,Associates,Widowed,9.3,0
APP_930,2022-02-24,500000.0,48359.18,4.4,0.183,644,0.874,0.413,2,0.554,0.014,11266.74,46,Masters,Divorced,5.9,1
APP_1031,2022-02-24,26217.03,27479.44,6.5,0.095,395,0.614,0.183,4,0.293,0.007,109309.13,34,High School,Married,4.5,1
APP_925,2022-02-24,131871.91,47824.14,5.7,0.815,701,0.027,0.888,3,0.389,0.229,456834.59,60,Associates,Divorced,3.1,0
APP_659,2022-02-25,47713.37,72464.65,7.3,0.744,697,0.115,0.744,5,0.295,0.408,180913.33,46,Doctorate,Divorced,9.5,0
APP_1708,2022-02-27,27957.15,44281.06,1.0,0.154,485,0.489,0.189,6,0.665,0.116,16804.81,29,Associates,Single,2.9,1
APP_2221,2022-02-27,14199.13,50013.48,8.4,0.867,699,0.126,0.827,3,0.438,0.585,223085.04,61,Associates,Divorced,10.6,0
APP_484,2022-02-27,500000.0,42984.06,3.6,0.069,553,0.497,0.336,2,0.729,0.128,9601.58,39,Associates,Divorced,4.9,1
APP_979,2022-02-28,123081.43,63077.47,8.1,0.287,541,0.873,0.352,3,0.922,0.018,4133.45,40,High School,Widowed,1.0,1
APP_2071,2022-03-01,37800.26,23756.15,2.6,0.2,610,0.772,0.233,3,0.741,0.043,49426.43,28,Bachelors,Single,1.0,1
APP_1149,2022-03-02,9949.66,32912.16,0.9,0.217,484,0.865,0.324,2,0.687,0.196,377243.65,27,Associates,Married,4.0,1
APP_1047,2022-03-02,187546.26,55778.17,1.1,0.128,766,0.858,0.234,2,0.717,0.029,29925.73,42,Bachelors,Divorced,6.4,1
APP_627,2022-03-02,38541.13,88857.4,8.4,0.748,740,0.309,0.968,3,0.088,0.484,211922.5,58,Bachelors,Widowed,8.2,0
APP_413,2022-03-03,23077.05,60176.78,2.6,0.361,703,0.873,0.221,2,0.715,0.102,29722.23,42,Associates,Single,4.8,1
APP_1174,2022-03-03,108334.25,27347.26,7.1,0.041,529,0.986,0.113,3,0.466,0.167,5647.58,53,Associates,Single,1.6,1
APP_888,2022-03-04,500000.0,32108.42,4.7,0.781,767,0.148,0.988,3,0.274,0.303,147905.17,40,Associates,Married,0.6,0
APP_539,2022-03-04,28702.92,89941.53,12.4,0.814,753,0.082,0.989,4,0.384,0.204,306459.36,50,Bachelors,Widowed,8.3,0
APP_1856,2022-03-06,82430.3,73493.15,4.4,0.196,592,0.904,0.421,3,0.665,0.088,36369.15,49,Associates,Married,1.2,1
APP_075,2022-03-06,72362.59,94526.97,8.1,0.91,769,0.224,0.953,6,0.387,0.317,480167.38,18,Bachelors,Single,13.2,0
APP_1472,2022-03-07,148097.8,87162.16,4.5,0.803,753,0.037,0.915,2,0.052,0.189,220757.2,62,Masters,Married,7.0,0
APP_2225,2022-03-07,228854.28,70945.55,5.0,0.142,581,0.848,0.363,3,0.741,0.074,26630.33,49,High School,Single,3.5,1
APP_688,2022-03-08,20192.18,86515.95,10.6,0.847,692,0.025,0.883,3,0.223,0.574,78413.77,37,Bachelors,Married,0.0,0
APP_1705,2022-03-08,77844.98,62345.79,10.2,0.72,727,0.293,0.894,5,0.292,0.733,841939.35,24,Bachelors,Married,7.2,0
APP_2391,2022-03-09,257149.4,60290.82,9.1,0.95,759,0.101,0.983,1,0.194,0.282,37800.51,45,Bachelors,Married,3.7,0
APP_1036,2022-03-10,74859.66,59884.4,1.5,0.184,640,0.472,0.603,1,0.822,0.032,15406.84,46,Masters,Single,5.3,1
APP_827,2022-03-10,100583.35,21555.03,9.8,0.798,759,0.051,0.848,10,0.293,0.341,131937.37,56,High School,Married,3.6,0
APP_610,2022-03-10,29039.23,87347.07,10.2,0.869,767,0.179,0.872,1,0.267,0.49,89368.79,60,Bachelors,Married,4.1,0
APP_1341,2022-03-13,56902.33,92956.72,10.1,0.812,769,0.254,0.937,5,0.243,0.592,344392.92,59,Masters,Married,4.3,0
APP_1691,2022-03-14,500000.0,22798.87,3.8,0.24,759,0.92,0.313,3,0.694,0.037,126787.66,55,High School,Single,4.8,1
APP_1043,2022-03-14,161188.34,60960.96,2.2,0.112,431,0.833,0.438,3,0.57,0.142,30220.59,39,High School,Married,0.1,1
APP_1774,2022-03-14,390713.19,33655.6,3.0,0.352,670,0.936,0.225,1,0.844,0.023,3445.11,48,Associates,Widowed,3.0,1
APP_873,2022-03-16,147359.72,55716.74,5.4,0.917,687,0.079,0.999,3,0.268,0.186,91974.66,47,Masters,Single,6.6,0
APP_585,2022-03-16,20754.17,114692.32,6.8,0.488,763,0.135,0.922,5,0.449,0.368,914758.35,32,Masters,Married,11.2,0
APP_2100,2022-03-16,129195.46,60309.17,8.8,0.83,670,0.583,0.996,2,0.699,0.322,270826.68,26,Bachelors,Single,2.2,0
APP_994,2022-03-16,262231.27,50636.65,3.6,0.209,551,0.848,0.103,1,0.777,0.371,22278.61,19,Bachelors,Divorced,5.9,1
APP_720,2022-03-16,21802.81,46029.64,8.4,0.482,776,0.213,0.755,4,0.266,0.254,49951.82,43,Bachelors,Married,5.7,0
APP_2432,2022-03-17,26636.82,17077.71,4.3,0.037,517,0.567,0.124,3,0.764,0.014,116847.47,38,Associates,Divorced,1.4,1
APP_422,2022-03-17,15106.95,53505.31,8.0,0.626,727,0.271,0.966,4,0.091,0.469,698587.57,30,Masters,Single,9.4,0
APP_2098,2022-03-19,91922.56,32721.29,7.1,0.261,538,0.955,0.07,0,0.529,0.054,5889.49,33,Associates,Single,1.6,1
APP_773,2022-03-19,273243.07,43966.95,6.1,0.045,545,0.778,0.201,1,0.382,0.21,10850.3,33,High School,Single,4.0,1
APP_664,2022-03-19,276925.96,67493.31,1.3,0.058,709,0.789,0.334,2,0.434,0.104,4649.4,30,Doctorate,Single,3.3,1
APP_1903,2022-03-20,46796.24,96242.7,4.1,0.506,675,0.08,0.911,3,0.255,0.313,287053.41,57,Doctorate,Divorced,10.1,0
APP_2215,2022-03-20,183567.15,99034.93,8.0,0.665,751,0.074,0.946,4,0.217,0.172,405880.67,41,Bachelors,Married,8.4,0
APP_1283,2022-03-20,41129.34,86562.32,0.0,0.176,683,0.92,0.152,0,0.901,0.294,8527.05,27,Bachelors,Divorced,0.0,1
APP_489,2022-03-21,67184.57,65960.19,9.7,0.93,803,0.269,0.712,4,0.112,0.52,143006.98,32,Doctorate,Married,9.0,0
APP_602,2022-03-22,93697.58,19676.58,11.6,0.672,742,0.305,0.98,7,0.238,0.359,743666.72,55,Bachelors,Married,6.4,0
APP_960,2022-03-23,45264.65,24165.92,2.0,0.901,687,0.198,0.824,3,0.467,0.382,159022.89,26,Bachelors,Married,5.8,0
APP_1233,2022-03-23,500000.0,71688.65,7.0,0.943,694,0.209,0.888,3,0.429,0.557,78620.58,28,Masters,Married,4.9,0
APP_2363,2022-03-24,55575.05,107428.34,3.2,0.905,737,0.316,0.791,5,0.44,0.552,475416.53,65,Masters,Married,6.5,0
APP_556,2022-03-24,20105.38,70362.41,11.3,0.818,751,0.08,0.972,4,0.195,0.665,98314.31,50,Bachelors,Married,6.9,0
APP_1824,2022-03-24,25929.7,56635.1,13.7,0.938,806,0.132,0.975,5,0.367,0.67,234241.37,37,High School,Divorced,5.0,0
APP_1303,2022-03-25,83510.14,58529.73,0.0,0.233,714,0.795,0.143,2,0.806,0.252,5113.91,48,Bachelors,Divorced,4.6,1
APP_1582,2022-03-26,87674.45,86950.16,10.3,0.754,713,0.193,0.916,2,0.03,0.29,225486.49,46,High School,Divorced,7.7,0
APP_1533,2022-03-27,48408.29,90773.07,7.4,0.848,738,0.015,0.983,2,0.314,0.311,205393.62,57,Doctorate,Married,5.6,0
APP_682,2022-03-27,47349.71,34764.72,4.2,0.405,709,0.732,0.411,2,0.741,0.137,4169.97,23,High School,Single,3.8,1
APP_929,2022-03-28,500000.0,45644.44,5.8,0.849,719,0.459,0.95,5,0.376,0.634,262767.19,47,Masters,Married,10.3,0
APP_1910,2022-03-28,36540.06,97109.68,7.8,0.797,719,0.142,0.961,4,0.237,0.532,296692.0,40,Bachelors,Married,10.3,0
